UF,CIDADE,CD_MUN,ID_OEMA,ID_MMA,ID_MMA_COMPLETO,PROPRIETARIO,PROP_ENTIDADE,OPERADOR,OP_ENTIDADE,FUNCIONAMENTO,CATEGORIA,METODO,CALIBRACAO,MARCA,MODELO,POLUENTE,COD_POLUENTE,MOBILIDADE,REP_ESPACIAL,FINALIDADE,STATUS,INICIO,FIM,LATITUDE,LONGITUDE,MONITORAR,FONTE,CERTIFICACAO,COD_UF_IBGE,ANOS_MONITORADOS,BASE_DADOS,ELEVACAO,REALOCACAO,OBS_CALIBRACAO,DADOS_MONITORAMENTO,RECONHECIDA,OBS_GERAIS,REP_ESPACIAL_DECLARADA,OPERACAO
AC,Porto Acre,1200807,MPAC_PTA_01_Sec.infraestrutura,AC0017,AC0017RA002,Nao declarado,Publico,Nao declarado,Nao declarado,Automatica,Indicativa,Nao declarado,Nao declarado,PurpleAir,PA-II-SD,PM25,2.0,Nao declarado,Bairro,Nao declarado,Ativa,2019-01-22 22:03:48-02:00,2025-09-19 10:43:48-03:00,-9.72708,-67.69802,Nao,PurpleAir 2025,Nao declarado,12.0,"2019,2020,2021,2022,2023,2024,2025",False,677.0,Nao declarado,Nao declarado,Nao declarado,Sim,Nao declarado,Nao declarado,Nao declarado
AC,Feijó,1200302,MPAC_FIJ_01_promotoria,AC0012,AC0012RA002,Nao declarado,Publico,Nao declarado,Nao declarado,Automatica,Indicativa,Nao declarado,Nao declarado,PurpleAir,PA-II-SD,PM25,2.0,Nao declarado,Bairro,Nao declarado,Ativa,2019-01-22 22:04:35-02:00,2025-09-19 10:43:44-03:00,-8.170079,-70.35503,Nao,PurpleAir 2025,Nao declarado,12.0,"2019,2020,2021,2022,2023,2024,2025",False,525.0,Nao declarado,Nao declarado,Nao declarado,Sim,Nao declarado,Nao declarado,Nao declarado
AC,Bujari,1200138,MPAC_BJR_01_promotoria,AC0006,AC0006RA002,Nao declarado,Publico,Nao declarado,Nao declarado,Automatica,Indicativa,Nao declarado,Nao declarado,PurpleAir,PA-II-SD,PM25,2.0,Nao declarado,Bairro,Nao declarado,Ativa,2019-01-28 20:20:26-02:00,2025-09-19 10:45:00-03:00,-9.829177,-67.95388,Nao,PurpleAir 2025,Nao declarado,12.0,"2019,2020,2021,2022,2023,2024,2025",False,696.0,Nao declarado,Nao declarado,Nao declarado,Sim,Nao declarado,Nao declarado,Nao declarado
AC,Brasiléia,1200104,MPAC_BRL_01_promotoria,AC0007,AC0007RA002,Nao declarado,Publico,Nao declarado,Nao declarado,Automatica,Indicativa,Nao declarado,Nao declarado,PurpleAir,PA-II-SD,PM25,2.0,Nao declarado,Bairro,Nao declarado,Ativa,2019-03-01 19:55:53-03:00,2025-09-19 10:44:51-03:00,-11.010512,-68.74228,Nao,PurpleAir 2025,Nao declarado,12.0,"2019,2020,2021,2022,2023,2024,2025",False,636.0,Nao declarado,Nao declarado,Nao declarado,Sim,Nao declarado,Nao declarado,Nao declarado
AC,Tarauacá,1200609,MPAC_TRC_02_ifac,AC0024,AC0024RA002,Nao declarado,Publico,Nao declarado,Nao declarado,Automatica,Indicativa,Nao declarado,Nao declarado,PurpleAir,PA-II-SD,PM25,2.0,Nao declarado,Bairro,Nao declarado,Ativa,2019-04-30 15:39:06-03:00,2025-09-19 10:44:45-03:00,-8.143146,-70.770905,Nao,PurpleAir 2025,Nao declarado,12.0,"2019,2020,2021,2022,2023,2024,2025",False,613.0,Nao declarado,Nao declarado,Nao declarado,Sim,Nao declarado,Nao declarado,Nao declarado
AC,Sena Madureira,1200500,MPAC_SNM_01_ifac,AC0021,AC0021RA002,Nao declarado,Publico,Nao declarado,Nao declarado,Automatica,Indicativa,Nao declarado,Nao declarado,PurpleAir,PA-II-SD,PM25,2.0,Nao declarado,Bairro,Nao declarado,Ativa,2019-04-30 15:46:59-03:00,2025-09-19 10:43:20-03:00,-9.082038,-68.680214,Nao,PurpleAir 2025,Nao declarado,12.0,"2019,2020,2021,2022,2023,2024,2025",False,530.0,Nao declarado,Nao declarado,Nao declarado,Sim,Nao declarado,Nao declarado,Nao declarado
AC,Assis Brasil,1200054,MPAC_ABR_01_promotoria,AC0003,AC0003RA002,Nao declarado,Publico,Nao declarado,Nao declarado,Automatica,Indicativa,Nao declarado,Nao declarado,PurpleAir,PA-II-SD,PM25,2.0,Nao declarado,Bairro,Nao declarado,Ativa,2019-04-30 15:47:20-03:00,2025-09-19 10:44:52-03:00,-10.939974,-69.56391,Nao,PurpleAir 2025,Nao declarado,12.0,"2019,2020,2021,2022,2023,2024,2025",False,783.0,Nao declarado,Nao declarado,Nao declarado,Sim,Nao declarado,Nao declarado,Nao declarado
AC,Rio Branco,1200401,Ministério Público do Estado do Acre (SEDE),AC0002,AC0002RA002,Nao declarado,Publico,Nao declarado,Nao declarado,Automatica,Indicativa,Nao declarado,Nao declarado,PurpleAir,PA-II-SD,PM25,2.0,Nao declarado,Bairro,Nao declarado,Ativa,2019-04-30 15:50:29-03:00,2025-09-19 10:44:39-03:00,-9.972646,-67.80796,Nao,PurpleAir 2025,Nao declarado,12.0,"2019,2020,2021,2022,2023,2024,2025",False,495.0,Nao declarado,Nao declarado,Nao declarado,Sim,Nao declarado,Nao declarado,Nao declarado
AC,Jordão,1200328,MPAC_JRD_01_prefeitura,AC0013,AC0013RA002,Nao declarado,Publico,Nao declarado,Nao declarado,Automatica,Indicativa,Nao declarado,Nao declarado,PurpleAir,PA-II-SD,PM25,2.0,Nao declarado,Bairro,Nao declarado,Ativa,2019-04-30 15:51:33-03:00,2025-09-19 10:44:29-03:00,-9.190853,-71.9512,Nao,PurpleAir 2025,Nao declarado,12.0,"2019,2020,2021,2022,2023,2024,2025",False,874.0,Nao declarado,Nao declarado,Nao declarado,Sim,Nao declarado,Nao declarado,Nao declarado
AC,Epitaciolândia,1200252,MPAC_EPL_01_camara,AC0029,AC0029RA002,Nao declarado,Publico,Nao declarado,Nao declarado,Automatica,Indicativa,Nao declarado,Nao declarado,PurpleAir,PA-II-SD,PM25,2.0,Nao declarado,Bairro,Nao declarado,Ativa,2019-04-30 16:00:55-03:00,2025-09-19 10:43:25-03:00,-11.02846,-68.73796,Nao,PurpleAir 2025,Nao declarado,12.0,"2019,2020,2021,2022,2023,2024,2025",False,766.0,Nao declarado,Nao declarado,Nao declarado,Sim,Nao declarado,Nao declarado,Nao declarado
